,alls_POS,Pts,alls_Mat,alls_Wkts,Dots,alls_4s,alls_6s,Catches,Stumpings,Bat_POS,Bat_Inns,NO,Bat_Runs,HS,BF,100,50,Bat_Avg,Bat_SR,Bow_POS,Bow_Inns,Ov,Bow_Runs,BBI,4w,5w,Bow_Avg,Balls,economy,Bow_SR
100,101.0,45.5,7.0,3.0,25.0,1.0,0.0,3.0,0.0,99.0,4.0,0.0,9.0,5,12.0,0.0,0.0,2.25,75.0,57.0,4.0,11.1,102.0,0.0,0.0,0.0,34.0,67.0,9.13,22.33
101,102.0,45.5,11.0,1.0,1.0,5.0,1.0,10.0,0.0,65.0,7.0,1.0,64.0,20,63.0,0.0,0.0,10.67,101.59,81.0,2.0,2.0,21.0,0.0,0.0,0.0,21.0,12.0,10.5,12.0
102,103.0,44.5,5.0,4.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,54.0,5.0,12.0,116.0,0.0,0.0,0.0,29.0,72.0,9.67,18.0
103,104.0,43.0,8.0,1.0,13.0,5.0,4.0,0.0,0.0,63.0,5.0,2.0,70.0,33,40.0,0.0,0.0,23.33,175.0,73.0,5.0,7.0,44.0,0.0,0.0,0.0,44.0,42.0,6.29,42.0
104,105.0,42.0,4.0,5.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,10.0,79.0,0.0,0.0,0.0,15.8,60.0,7.9,12.0
105,106.0,42.0,5.0,0.0,0.0,4.0,7.0,3.0,0.0,56.0,5.0,0.0,90.0,75,73.0,0.0,1.0,18.0,123.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107.0,40.0,3.0,4.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,9.0,74.0,0.0,0.0,0.0,18.5,54.0,8.22,13.5
107,108.0,39.5,3.0,2.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,12.0,85.0,0.0,0.0,0.0,42.5,72.0,7.08,36.0
108,109.0,39.0,7.0,0.0,0.0,8.0,4.0,2.0,0.0,52.0,6.0,0.0,101.0,28,100.0,0.0,0.0,16.83,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,110.0,38.5,4.0,0.0,0.0,7.0,6.0,0.0,0.0,53.0,4.0,0.0,98.0,53,75.0,0.0,1.0,24.5,130.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,111.0,37.0,5.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,71.0,5.0,17.0,183.0,0.0,0.0,0.0,91.5,102.0,10.76,51.0
111,112.0,37.0,3.0,0.0,0.0,11.0,2.0,1.0,0.0,54.0,3.0,0.0,98.0,65,70.0,0.0,1.0,32.67,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,113.0,37.0,3.0,0.0,0.0,4.0,7.0,1.0,0.0,59.0,3.0,0.0,81.0,36,53.0,0.0,0.0,27.0,152.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,114.0,36.5,4.0,0.0,0.0,9.0,4.0,0.0,0.0,58.0,4.0,0.0,84.0,40,70.0,0.0,0.0,21.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,115.0,34.0,2.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,8.0,69.0,0.0,0.0,0.0,17.25,48.0,8.62,12.0
115,116.0,30.5,3.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,10.0,109.0,0.0,0.0,0.0,36.33,60.0,10.9,20.0
116,117.0,30.0,3.0,1.0,19.0,0.0,0.0,3.0,0.0,100.0,1.0,1.0,9.0,9,9.0,0.0,0.0,0.0,100.0,86.0,3.0,9.0,118.0,0.0,0.0,0.0,118.0,54.0,13.11,54.0
117,118.0,29.0,2.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,7.1,67.0,0.0,0.0,0.0,16.75,43.0,9.35,10.75
118,119.0,29.0,3.0,2.0,22.0,0.0,0.0,0.0,0.0,98.0,1.0,0.0,9.0,9,10.0,0.0,0.0,9.0,90.0,67.0,3.0,10.5,95.0,0.0,0.0,0.0,47.5,65.0,8.77,32.5
119,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.0,2.0,7.0,50.0,0.0,0.0,0.0,50.0,42.0,7.14,42.0
120,121.0,24.5,3.0,0.0,0.0,4.0,2.0,3.0,0.0,69.0,3.0,0.0,48.0,32,52.0,0.0,0.0,16.0,92.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,122.0,24.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68.0,2.0,8.0,71.0,0.0,0.0,0.0,35.5,48.0,8.88,24.0
122,123.0,22.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,8.0,77.0,0.0,0.0,0.0,38.5,48.0,9.62,24.0
123,124.0,22.0,8.0,0.0,0.0,5.0,2.0,1.0,0.0,68.0,5.0,0.0,61.0,24,57.0,0.0,0.0,12.2,107.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,125.0,21.5,4.0,0.0,2.0,4.0,2.0,1.0,0.0,70.0,4.0,1.0,46.0,37,49.0,0.0,0.0,15.33,93.88,97.0,3.0,5.0,55.0,0.0,0.0,0.0,0.0,30.0,11.0,0.0
125,126.0,21.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,66.0,2.0,0.0,64.0,38,61.0,0.0,0.0,32.0,104.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,127.0,21.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,92.0,3.0,12.0,110.0,0.0,0.0,0.0,0.0,72.0,9.17,0.0
127,128.0,18.5,4.0,0.0,3.0,1.0,3.0,1.0,0.0,73.0,4.0,1.0,40.0,24,33.0,0.0,0.0,13.33,121.21,88.0,2.0,1.4,8.0,0.0,0.0,0.0,0.0,10.0,4.8,0.0
128,129.0,18.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,4.0,28.0,0.0,0.0,0.0,14.0,24.0,7.0,12.0
129,130.0,17.0,3.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,80.0,3.0,6.0,59.0,0.0,0.0,0.0,59.0,36.0,9.83,36.0
130,131.0,17.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,70.0,3.0,9.0,90.0,0.0,0.0,0.0,45.0,54.0,10.0,27.0
131,132.0,15.5,2.0,0.0,7.0,2.0,1.0,0.0,0.0,82.0,1.0,1.0,20.0,20,12.0,0.0,0.0,0.0,166.67,93.0,2.0,5.0,48.0,0.0,0.0,0.0,0.0,30.0,9.6,0.0
132,133.0,13.5,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,79.0,2.0,5.0,47.0,0.0,0.0,0.0,47.0,30.0,9.4,30.0
133,134.0,12.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,3.0,30.0,0.0,0.0,0.0,0.0,18.0,10.0,0.0
134,135.0,12.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,75.0,3.0,1.0,37.0,30,34.0,0.0,0.0,18.5,108.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,136.0,11.5,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,3.0,27.0,0.0,0.0,0.0,27.0,18.0,9.0,18.0
136,137.0,11.5,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,3.0,35.0,0.0,0.0,0.0,35.0,18.0,11.67,18.0
137,138.0,11.5,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.0,2.0,5.0,57.0,0.0,0.0,0.0,57.0,30.0,11.4,30.0
138,139.0,11.5,3.0,1.0,2.0,1.0,1.0,0.0,0.0,85.0,3.0,1.0,18.0,13,17.0,0.0,0.0,9.0,105.88,87.0,1.0,2.0,27.0,0.0,0.0,0.0,27.0,12.0,13.5,12.0
139,140.0,10.5,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,4.0,42.0,0.0,0.0,0.0,0.0,24.0,10.5,0.0
140,141.0,9.5,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,82.0,2.0,2.0,21.0,0.0,0.0,0.0,21.0,12.0,10.5,12.0
141,142.0,9.5,10.0,0.0,1.0,1.0,1.0,1.0,0.0,74.0,8.0,5.0,40.0,16,45.0,0.0,0.0,13.33,88.89,90.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0
